date,player,typeDesc,description
2024-08-31,Luis Urías,Selected,Seattle Mariners selected the contract of 3B Luis Urías from Tacoma Rainiers.
2024-09-01,Eduard Bazardo,Recalled,Seattle Mariners recalled RHP Eduard Bazardo from Tacoma Rainiers.
2024-09-01,Jhonathan Díaz,Recalled,Seattle Mariners recalled LHP Jhonathan Diaz from Tacoma Rainiers.
2024-09-10,Seby Zavala,Selected,Seattle Mariners selected the contract of C Seby Zavala from Tacoma Rainiers.
2024-09-13,Emerson Hancock,Recalled,Seattle Mariners recalled RHP Emerson Hancock from Tacoma Rainiers.
2024-09-22,Gabe Speier,Recalled,Seattle Mariners recalled LHP Gabe Speier from Tacoma Rainiers.
2024-09-28,Emerson Hancock,Recalled,Seattle Mariners recalled RHP Emerson Hancock from Tacoma Rainiers.
2024-10-01,Cade Marlowe,Recalled,Seattle Mariners recalled LF Cade Marlowe from Tacoma Rainiers.
2024-10-01,Carlos Vargas,Recalled,Seattle Mariners recalled RHP Carlos Vargas from Tacoma Rainiers.
2024-10-01,Samad Taylor,Recalled,Seattle Mariners recalled 2B Samad Taylor from Tacoma Rainiers.
2024-10-01,Austin Kitchen,Recalled,Seattle Mariners recalled LHP Austin Kitchen from Tacoma Rainiers.
2024-10-01,Ryan Bliss,Recalled,Seattle Mariners recalled 2B Ryan Bliss from Tacoma Rainiers.
2024-10-01,Tyler Locklear,Recalled,Seattle Mariners recalled 1B Tyler Locklear from Tacoma Rainiers.
2024-10-01,Dominic Canzone,Recalled,Seattle Mariners recalled RF Dominic Canzone from Tacoma Rainiers.
2024-10-01,Cody Bolton,Recalled,Seattle Mariners recalled RHP Cody Bolton from Tacoma Rainiers.
2024-11-04,Blas Castaño,Selected,Seattle Mariners selected the contract of RHP Blas Castano from Tacoma Rainiers.
2025-03-25,Rowdy Tellez,Selected,Seattle Mariners selected the contract of 1B Rowdy Tellez from Tacoma Rainiers.
2025-04-01,Leo Rivas,Recalled,Seattle Mariners recalled SS Leo Rivas from Tacoma Rainiers.
2025-04-01,Jhonathan Díaz,Selected,Seattle Mariners selected the contract of LHP Jhonathan Díaz from Tacoma Rainiers.
2025-04-04,Luis F. Castillo,Selected,Seattle Mariners selected the contract of RHP Luis F. Castillo from Tacoma Rainiers.
2025-04-05,Jesse Hahn,Selected,Seattle Mariners selected the contract of RHP Jesse Hahn from Tacoma Rainiers.
2025-04-07,Dominic Canzone,Recalled,Seattle Mariners recalled RF Dominic Canzone from Tacoma Rainiers.
2025-04-09,Leo Rivas,Recalled,Seattle Mariners recalled SS Leo Rivas from Tacoma Rainiers.
2025-04-09,Casey Lawrence,Selected,Seattle Mariners selected the contract of RHP Casey Lawrence from Tacoma Rainiers.
2025-04-11,Casey Legumina,Recalled,Seattle Mariners recalled RHP Casey Legumina from Tacoma Rainiers.
2025-04-13,Ben Williamson,Selected,Seattle Mariners selected the contract of 3B Ben Williamson from Tacoma Rainiers.
2025-04-16,Will Klein,Recalled,Seattle Mariners recalled RHP Will Klein from Tacoma Rainiers.
2025-04-17,Emerson Hancock,Recalled,Seattle Mariners recalled RHP Emerson Hancock from Tacoma Rainiers.
2025-04-18,Casey Lawrence,Selected,Seattle Mariners selected the contract of RHP Casey Lawrence from Tacoma Rainiers.
2025-04-20,Sauryn Lao,Selected,Seattle Mariners selected the contract of RHP Sauryn Lao from Tacoma Rainiers.
2025-04-23,Casey Lawrence,Selected,Seattle Mariners selected the contract of RHP Casey Lawrence from Tacoma Rainiers.
